Day Cases Previous
51 23 8
54 74 23
57 238 74
60 537 238
63 922 537
66 1610 922
69 2449 1610
72 3404 2449
75 4471 3404
78 5546 4471
81 6927 5546
84 7917 6927
87 9252 7917
90 10507 9252
93 11812 10507
96 13331 11812
99 14885 13331
102 18435 14885
105 22016 18435
108 25972 22016
111 30063 25972
114 37040 30063
117 43781 37040
