Day Cases Previous
55 155 3
58 453 155
61 1128 453
64 2502 1128
67 4636 2502
70 9172 4636
73 15113 9172
76 24747 15113
79 35713 24747
82 53578 35713
85 69176 53578
88 86498 69176
91 101739 86498
94 115242 101739
97 128948 115242
100 139422 128948
103 152271 139422
106 162488 152271
109 172434 162488
112 181228 172434
115 189973 181228
118 197675 189973
121 203591 197675
124 209328 203591
127 213013 209328
130 217185 213013
133 219814 217185
136 223096 219814
139 225435 223096
