Day Cases Previous
65 38 10
68 188 38
71 382 188
74 806 382
77 1416 806
80 2467 1416
83 4217 2467
86 6438 4217
89 9819 6438
92 12667 9819
95 15821 12667
98 18926 15821
101 21903 18926
104 25746 21903
107 28316 25746
110 31766 28316
113 34317 31766
116 36729 34317
119 38440 36729
122 39512 38440
125 40769 39512
128 41518 40769
131 42581 41518
134 43183 42581
137 43880 43183
140 44341 43880
