Day Cases Previous
74 27 9
77 36 27
80 51 36
83 76 51
86 86 76
89 94 86
92 152 94
95 351 152
98 700 351
101 1486 700
104 2578 1486
107 3728 2578
110 4779 3728
113 6723 4779
116 8773 6723
119 11289 8773
122 14027 11289
125 16705 14027
128 19255 16705
131 22052 19255
134 24873 22052
137 27730 24873
140 30572 27730
