Day Recoveries Previous
59 11 4
62 12 11
65 12 12
68 12 12
71 12 12
74 12 12
77 12 12
80 12 12
83 2206 12
86 3907 2206
89 5724 3907
92 9513 5724
95 14135 9513
98 17428 14135
101 23413 17428
104 27469 23413
107 30955 27469
110 35983 30955
113 39181 35983
116 43493 39181
119 45513 43493
122 49476 45513
125 50885 49476
128 54079 50885
131 56148 54079
134 57898 56148
137 60562 57898
140 61843 60562
