Day Recoveries Previous
58 49 0
61 123 49
64 291 123
67 913 291
70 2394 913
73 2959 2394
76 4590 2959
79 5389 4590
82 7635 5389
85 8913 7635
88 11133 8913
91 13911 11133
94 16711 13911
97 19736 16711
100 29812 19736
103 41947 29812
106 48129 41947
109 54064 48129
112 59273 54064
115 64843 59273
118 69657 64843
121 73791 69657
124 77350 73791
127 80475 77350
130 83837 80475
133 87422 83837
136 90539 87422
139 94464 90539
