Day Recoveries Previous
77 13 4
80 15 13
83 27 15
86 43 27
89 84 43
92 123 84
95 192 123
98 375 192
101 620 375
104 1080 620
107 1432 1080
110 2463 1432
113 3975 2463
116 5498 3975
119 7137 5498
122 9068 7137
125 11775 9068
128 15331 11775
131 19301 15331
134 24420 19301
137 30258 24420
140 39233 30258
