Day Recoveries Previous
60 46 1
63 149 46
66 414 149
69 622 414
72 1045 622
75 1966 1045
78 2941 1966
81 4440 2941
84 7024 4440
87 10361 7024
90 13030 10361
93 16847 13030
96 20996 16847
99 24392 20996
102 30455 24392
105 35435 30455
108 40164 35435
111 47055 40164
114 54543 47055
117 63120 54543
120 68941 63120
123 78249 68941
126 82879 78249
129 96276 82879
132 105186 96276
135 112541 105186
138 122810 112541
