Day Deaths Previous
59 17 7
62 34 17
65 107 34
68 233 107
71 631 233
74 1266 631
77 2158 1266
80 3405 2158
83 5476 3405
86 7503 5476
89 10023 7503
92 12428 10023
95 14681 12428
98 16523 14681
101 18279 16523
104 19899 18279
107 21645 19899
110 23227 21645
113 24648 23227
116 25969 24648
119 26977 25969
122 27967 26977
125 28884 27967
128 29684 28884
131 30395 29684
134 30911 30395
137 31610 30911
140 32007 31610
