Day Deaths Previous
76 21 8
79 72 21
82 251 72
85 509 251
88 1163 509
91 2046 1163
94 3752 2046
97 5874 3752
100 8519 5874
103 11616 8519
106 14095 11616
109 16910 14095
112 19092 16910
115 21840 19092
118 24117 21840
121 26166 24117
124 28205 26166
127 29501 28205
130 31316 29501
133 32141 31316
136 33693 32141
139 34716 33693
