Day Deaths Previous
61 16 12
64 28 16
67 42 28
70 53 42
73 66 53
76 75 66
79 84 75
82 102 84
85 120 102
88 139 120
91 158 139
94 169 158
97 183 169
100 200 183
103 211 200
106 222 211
109 230 222
112 236 230
115 240 236
118 243 240
121 247 243
124 250 247
127 255 250
130 256 255
133 258 256
136 260 258
139 263 260
