Day Cases Previous
61 18 1
64 56 18
67 214 56
70 374 214
73 652 374
76 2200 652
79 3028 2200
82 6575 3028
85 9877 6575
88 12928 9877
91 15922 12928
94 18827 15922
97 21100 18827
100 23280 21100
103 25107 23280
106 25936 25107
109 27078 25936
112 27944 27078
115 28496 27944
118 29061 28496
121 29407 29061
124 29817 29407
127 30009 29817
130 30207 30009
133 30344 30207
136 30463 30344
139 30587 30463
