Day Cases Previous
58 18 12
61 100 18
64 204 100
67 656 204
70 1217 656
73 2876 1217
76 5423 2876
79 9105 5423
82 14463 9105
85 22622 14463
88 33402 22622
91 45170 33402
94 59929 45170
97 71412 59929
100 83057 71412
103 94863 83057
106 130365 94863
109 148084 130365
112 155393 148084
115 158303 155393
118 162220 158303
121 166543 162220
124 168518 166543
127 170687 168518
130 176202 170687
133 177547 176202
136 178994 177547
139 179693 178994
