Day Cases Previous
52 27 1
55 55 27
58 109 55
61 313 109
64 443 313
67 786 443
70 1181 786
73 1475 1181
76 1988 1475
79 2528 1988
82 3234 2528
85 3574 3234
88 4210 3574
91 4658 4210
94 5338 4658
97 6021 5338
100 6532 6021
103 7090 6532
106 7731 7090
109 8282 7731
112 8783 8282
115 9268 8783
118 9726 9268
