Day Cases Previous
67 13 3
70 17 13
73 28 17
76 63 28
79 147 63
82 306 147
85 495 306
88 1036 495
91 1836 1036
94 3548 1836
97 5389 3548
100 8672 5389
103 13584 8672
106 21102 13584
109 32008 21102
112 47121 32008
115 62773 47121
118 80949 62773
121 99399 80949
124 124054 99399
127 155370 124054
130 187859 155370
133 221344 187859
136 252245 221344
139 281752 252245
