Day Recoveries Previous
69 30 2
72 183 30
75 517 183
78 1028 517
81 1588 1028
84 2575 1588
87 7015 2575
90 14709 7015
93 22647 14709
96 34219 22647
99 43208 34219
102 55668 43208
105 64727 55668
108 74797 64727
111 77357 74797
114 85915 77357
117 95708 85915
120 102548 95708
123 112050 102548
126 121343 112050
129 128511 121343
132 136166 128511
135 140823 136166
138 146446 140823
