Day Recoveries Previous
51 12 1
54 14 12
57 14 14
60 16 14
63 16 16
66 16 16
69 18 16
72 25 18
75 46 25
78 67 46
81 180 67
84 266 180
87 5673 266
90 9211 5673
93 18700 9211
96 26400 18700
99 36081 26400
102 53913 36081
105 64300 53913
108 77000 64300
111 88000 77000
114 99400 88000
117 109800 99400
120 117400 109800
123 126900 117400
126 132700 126900
129 141700 132700
132 144400 141700
135 148700 144400
138 152600 148700
