Day Recoveries Previous
47 12 10
50 15 12
53 17 15
56 21 17
59 22 21
62 28 22
65 31 28
68 31 31
71 33 31
74 35 33
77 35 35
80 42 35
83 44 42
86 70 44
89 97 70
92 342 97
95 612 342
98 793 612
101 940 793
104 1218 940
107 1497 1218
110 1787 1497
113 2108 1787
116 2547 2108
119 2609 2547
122 2684 2609
125 2739 2684
128 2761 2739
131 2787 2761
134 2798 2787
137 2854 2798
140 2857 2854
