Day Cases Previous
29 14 7
32 19 14
35 19 19
38 25 19
41 32 25
44 33 32
47 33 33
50 35 33
53 35 35
56 35 35
59 40 35
62 42 40
65 43 42
68 50 43
71 53 50
74 75 53
77 147 75
80 272 147
83 599 272
86 934 599
89 1245 934
92 1651 1245
95 1978 1651
98 2220 1978
101 2423 2220
104 2551 2423
107 2643 2551
110 2733 2643
113 2811 2733
116 2907 2811
119 2931 2907
122 2954 2931
125 2969 2954
128 2989 2969
131 3004 2989
134 3017 3004
137 3025 3017
140 3031 3025
