Day Cases
2 27
5 46
8 56
11 63
14 56
17 60
20 216
23 548
26 1406
29 5509
32 9802
35 19716
38 30587
41 39829
44 44759
47 68413
50 74211
53 75550
56 77241
59 78600
62 79932
65 80386
68 80769
71 80891
74 80941
77 81026
80 81180
83 81404
86 81683
89 81989
92 82282
95 82510
98 82665
101 82883
104 83134
107 83356
110 83787
113 83853
116 83899
119 83918
122 83956
125 83963
128 83971
131 83991
134 84016
137 84040
140 84062
