Day Cases
46 13
49 15
52 7
55 22
58 51
61 71
64 117
67 262
70 583
73 1663
76 3499
79 7783
82 25600
85 53736
88 101657
91 161831
94 243622
97 336802
100 428654
103 526396
106 607670
109 699706
112 784326
115 869170
118 965785
121 1039909
124 1132539
127 1204351
130 1283929
133 1347881
136 1417774
139 1486757
