Day Cases Previous
34 20 11
37 22 20
40 25 22
43 26 25
46 29 26
49 66 29
52 94 66
55 147 94
58 189 147
61 241 189
64 293 241
67 420 293
70 511 420
73 639 511
76 839 639
79 889 839
82 1007 889
85 1193 1007
88 1468 1193
91 1866 1468
94 2495 1866
97 3139 2495
100 4257 3139
103 6005 4257
106 7645 6005
109 9787 7645
112 10797 9787
115 12368 10797
118 13441 12368
121 13895 13441
124 14571 13895
127 15253 14571
130 15575 15253
133 15847 15575
136 16120 15847
139 16285 16120
