Day Cases Previous
67 31 5
70 43 31
73 73 43
76 113 73
79 156 113
82 330 156
85 536 330
88 887 536
91 1251 887
94 2543 1251
97 3588 2543
100 5916 3588
103 8446 5916
106 11487 8446
109 14352 11487
112 18539 14352
115 23077 18539
118 27890 23077
121 33062 27890
124 39699 33062
127 49400 39699
130 59695 49400
133 70768 59695
136 81997 70768
139 95698 81997
