Day Cases Previous
70 20 5
73 52 20
76 140 52
79 202 140
82 307 202
85 552 307
88 803 552
91 1546 803
94 2633 1546
97 3246 2633
100 3870 3246
103 4428 3870
106 5223 4428
109 5878 5223
112 6459 5878
115 6981 6459
118 7579 6981
121 8212 7579
124 8928 8212
127 9684 8928
130 10463 9684
133 11086 10463
136 11876 11086
139 12513 11876
