Day Cases Previous
63 15 7
66 94 15
69 203 94
72 500 203
75 961 500
78 1190 961
81 1639 1190
84 2046 1639
87 2840 2046
90 3700 2840
93 4947 3700
96 6443 4947
99 7693 6443
102 9685 7693
105 10948 9685
108 12540 10948
111 14385 12540
114 16004 14385
117 18177 16004
120 19621 18177
123 21520 19621
126 22721 21520
129 24623 22721
132 26322 24623
135 27909 26322
138 29677 27909
