Day Cases Previous
66 13 6
69 14 13
72 17 14
75 28 17
78 58 28
81 367 58
84 981 367
87 1403 981
90 1924 1403
93 2748 1924
96 3465 2748
99 3747 3465
102 7161 3747
105 7529 7161
108 8225 7529
111 9468 8225
114 10850 9468
117 22719 10850
120 24258 22719
123 26336 24258
126 31881 26336
129 30298 31881
132 29559 30298
135 30486 29559
138 32763 30486
