Day Cases Previous
39 16 11
42 18 16
45 18 18
48 20 18
51 23 20
54 26 23
57 31 26
60 34 31
63 41 34
66 44 41
69 45 44
72 48 45
75 53 48
78 77 53
81 135 77
84 195 135
87 252 195
90 298 252
93 329 298
96 355 329
99 376 355
102 382 376
105 393 382
108 395 393
111 420 395
114 426 420
117 429 426
120 429 429
123 429 429
126 438 429
129 440 438
132 440 440
135 440 440
138 440 440
