Day Recoveries Previous
71 12 7
74 17 12
77 23 17
80 31 23
83 38 31
86 52 38
89 52 52
92 61 52
95 108 61
98 167 108
101 268 167
104 680 268
107 1034 680
110 1188 1034
113 1443 1188
116 1760 1443
119 2090 1760
122 2429 2090
125 2763 2429
128 3359 2763
131 4295 3359
134 6012 4295
137 7328 6012
140 9577 7328
