Day Deaths Previous
72 8 3
75 21 8
78 56 21
81 195 56
84 360 195
87 879 360
90 1672 879
93 3100 1672
96 5228 3100
99 7483 5228
102 10776 7483
105 13047 10776
108 15974 13047
111 18527 15974
114 21111 18527
117 23697 21111
120 25369 23697
123 27583 25369
126 28809 27583
129 30689 28809
132 31930 30689
135 33264 31930
138 34546 33264
