Day Deaths Previous
53 4 0
56 12 4
59 26 12
62 54 26
65 92 54
68 145 92
71 291 145
74 514 291
77 853 514
80 1284 853
83 1685 1284
86 2077 1685
89 2517 2077
92 2898 2517
95 3294 2898
98 3739 3294
101 4110 3739
104 4474 4110
107 4777 4474
110 5031 4777
113 5297 5031
116 5574 5297
119 5806 5574
122 6028 5806
125 6203 6028
128 6418 6203
131 6589 6418
134 6733 6589
137 6902 6733
140 7057 6902
