Day Recoveries Previous
50 12 9
53 16 12
56 18 16
59 22 18
62 30 22
65 41 30
68 135 41
71 247 135
74 510 247
77 1137 510
80 1540 1137
83 2909 1540
86 3730 2909
89 4811 3730
92 5408 4811
95 6021 5408
98 6598 6021
101 6973 6598
104 7368 6973
107 7616 7368
110 7937 7616
113 8213 7937
116 8635 8213
119 8854 8635
122 9072 8854
125 9217 9072
128 9419 9217
131 9610 9419
134 9695 9610
137 9851 9695
140 9938 9851
