Day Recoveries Previous
49 12 9
52 18 12
55 22 18
58 22 22
61 32 22
64 43 32
67 46 43
70 76 46
73 118 76
76 118 118
79 144 118
82 232 144
85 285 232
88 372 285
91 424 372
94 472 424
97 514 472
100 622 514
103 762 622
106 799 762
109 935 799
112 1159 935
115 1494 1159
118 1809 1494
121 2368 1809
124 3205 2368
127 4496 3205
130 5146 4496
133 8293 5146
136 9868 8293
139 11153 9868
