Day Recoveries Previous
53 11 10
56 11 11
59 11 11
62 11 11
65 11 11
68 21 11
71 21 21
74 23 21
77 23 23
80 26 23
83 88 26
86 119 88
89 244 119
92 358 244
95 649 358
98 1080 649
101 1472 1080
104 1806 1472
107 2186 1806
110 4124 2186
113 4695 4124
116 5136 4695
119 5588 5136
122 5742 5588
125 5849 5742
128 6031 5849
131 6141 6031
134 6270 6141
137 6359 6270
140 6413 6359
