Day Recoveries Previous
52 15 7
55 15 15
58 18 15
61 18 18
64 22 18
67 22 22
70 24 22
73 26 24
76 42 26
79 60 42
82 114 60
85 183 114
88 259 183
91 479 259
94 767 479
97 1005 767
100 1487 1005
103 1995 1487
106 2478 1995
109 2967 2478
112 3295 2967
115 3542 3295
118 3862 3542
121 4087 3862
124 4326 4087
127 4567 4326
130 4864 4567
133 5113 4864
136 5351 5113
139 5571 5351
