Day Recoveries Previous
73 12 7
76 12 12
81 147 17
84 178 147
87 681 178
90 2665 681
93 8474 2665
96 14652 8474
99 21763 14652
102 28790 21763
105 43482 28790
108 54703 43482
111 70337 54703
114 77366 70337
117 100372 77366
120 115936 100372
123 164015 115936
126 187180 164015
129 195036 187180
132 216169 195036
135 243430 216169
138 268376 243430
