Day Deaths Previous
58 12 3
61 29 12
64 79 29
67 197 79
70 463 197
73 1016 463
76 1809 1016
79 2978 1809
82 4825 2978
85 6820 4825
88 9134 6820
91 11591 9134
94 13915 11591
97 15887 13915
100 17669 15887
103 19468 17669
106 21067 19468
109 22745 21067
112 24114 22745
115 25549 24114
118 26644 25549
121 27682 26644
124 28710 27682
127 29315 28710
130 30201 29315
133 30739 30201
136 31368 30739
139 31908 31368
