Day Deaths Previous
72 5 3
75 12 5
78 43 12
81 107 43
84 214 107
87 435 214
90 772 435
93 1175 772
96 1656 1175
99 2108 1656
102 2520 2108
105 2833 2520
108 3327 2833
111 3697 3327
114 4068 3697
117 4424 4068
120 4582 4424
123 4909 4582
126 5098 4909
129 5306 5098
132 5459 5306
135 5581 5459
138 5689 5581
