Day Deaths Previous
66 6 3
69 19 6
72 48 19
75 91 48
78 175 91
81 451 175
84 862 451
87 1698 862
90 2611 1698
93 4414 2611
96 7574 4414
99 10343 7574
102 13215 10343
105 14986 13215
108 17922 14986
111 19720 17922
114 21342 19720
117 22617 21342
120 23663 22617
123 24597 23663
126 25204 24597
129 25990 25204
132 26383 25990
135 27077 26383
138 27532 27077
