Day Cases Previous
55 18 5
58 192 18
61 1236 192
64 2433 1236
67 7402 2433
70 13531 7402
73 20921 13531
76 30217 20921
79 42282 30217
82 56956 42282
85 69392 56956
88 82329 69392
91 95591 82329
94 104912 95591
97 112261 104912
100 120204 112261
103 126045 120204
106 131744 126045
109 137115 131744
112 141475 137115
115 146457 141475
118 150593 146457
