Day Recoveries Previous
81 15 4
84 131 15
87 131 131
90 1595 131
93 2967 1595
96 6415 2967
99 8704 6415
102 11100 8704
105 13700 11100
108 15900 13700
111 17800 15900
114 19900 17800
117 21300 19900
120 22600 21300
123 23900 22600
126 25200 23900
129 25900 25200
132 26600 25900
135 27100 26600
138 27400 27100
