Day Recoveries Previous
46 17 9
49 24 17
52 34 24
55 51 34
58 62 51
61 72 62
64 78 72
67 78 78
70 78 78
73 96 78
76 105 96
79 114 105
82 140 114
85 156 140
88 183 156
91 228 183
94 266 228
97 320 266
100 406 320
103 528 406
106 611 528
109 708 611
112 801 708
115 924 801
118 1060 924
121 1188 1060
124 1347 1188
127 1519 1347
130 2040 1519
133 3225 2040
136 5973 3225
139 9340 5973
