Day Deaths Previous
74 7 2
77 17 7
80 44 17
83 94 44
86 206 94
89 433 206
92 775 433
95 1275 775
98 1810 1275
101 2607 1810
104 3022 2607
107 3804 3022
110 4459 3804
113 5033 4459
116 5760 5033
119 6126 5760
122 6623 6126
125 6866 6623
128 7275 6866
131 7549 7275
134 7738 7549
137 7897 7738
140 8003 7897
