Day Deaths Previous
64 7 1
67 14 7
70 22 14
73 40 22
76 63 40
79 118 63
82 442 118
85 1008 442
88 2265 1008
91 4192 2265
94 7921 4192
97 12375 7921
100 18270 12375
103 24342 18270
106 30262 24342
109 37411 30262
112 42659 37411
115 49724 42659
118 54881 49724
121 60967 54881
124 66369 60967
127 71064 66369
130 77180 71064
133 80682 77180
136 85898 80682
139 89562 85898
