Day Deaths Previous
69 17 3
72 54 17
75 195 54
78 533 195
81 1043 533
84 2311 1043
87 4365 2311
90 6803 4365
93 9387 6803
96 11947 9387
99 14045 11947
102 16081 14045
105 17756 16081
108 19315 17756
111 20453 19315
114 21717 20453
117 22902 21717
120 23822 22902
123 24543 23822
126 25428 24543
129 26070 25428
132 26621 26070
135 27104 26621
138 27563 27104
