Day Cases Previous
58 13 9
61 23 13
64 51 23
67 164 51
70 322 164
73 459 322
76 1145 459
79 2642 1145
82 5067 2642
85 8164 5067
88 14745 8164
91 22453 14745
94 34173 22453
97 48436 34173
100 61474 48436
103 79874 61474
106 94845 79874
109 109769 94845
112 125856 109769
115 139246 125856
118 154037 139246
121 166441 154037
124 183500 166441
127 196243 183500
130 212629 196243
133 224332 212629
136 234440 224332
139 244995 234440
