Day Cases Previous
56 13 9
59 13 13
62 21 13
65 27 21
68 45 27
71 74 45
74 85 74
77 98 85
80 140 98
83 153 140
86 333 153
89 468 333
92 664 468
95 1264 664
98 2076 1264
101 2990 2076
104 4123 2990
107 5365 4123
110 6302 5365
113 7755 6302
116 9281 7755
119 10839 9281
122 12481 10839
125 14163 12481
128 15738 14163
131 17417 15738
134 19661 17417
137 21831 19661
140 24190 21831
